Date,Open,High,Low,Close,Adj Close,Volume
2021-03-26,19.5,23.0,19.290000915527344,20.75,20.75,3766100
2021-03-29,21.6299991607666,22.8799991607666,20.639999389648438,21.809999465942383,21.809999465942383,1402300
2021-03-30,22.0,25.190000534057617,21.280000686645508,24.719999313354492,24.719999313354492,1550600
2021-03-31,25.209999084472656,25.898000717163086,22.579999923706055,24.25,24.25,2539500
2021-04-01,24.700000762939453,25.209999084472656,22.06999969482422,24.309999465942383,24.309999465942383,2318200
2021-04-05,24.110000610351562,25.540000915527344,22.889999389648438,23.299999237060547,23.299999237060547,908900
2021-04-06,22.959999084472656,23.25,21.690000534057617,22.25,22.25,608900
2021-04-07,22.43000030517578,22.809999465942383,21.059999465942383,21.43000030517578,21.43000030517578,1049000
2021-04-08,21.329999923706055,22.200000762939453,21.329999923706055,21.950000762939453,21.950000762939453,568400
2021-04-09,22.040000915527344,22.56999969482422,21.600000381469727,22.450000762939453,22.450000762939453,573400
2021-04-12,21.600000381469727,23.0,21.600000381469727,22.6299991607666,22.6299991607666,473400
2021-04-13,22.799999237060547,23.0,22.0,22.459999084472656,22.459999084472656,414800
2021-04-14,21.860000610351562,24.18000030517578,21.850000381469727,23.299999237060547,23.299999237060547,846700
2021-04-15,23.5,24.229999542236328,22.579999923706055,23.829999923706055,23.829999923706055,504800
2021-04-16,23.670000076293945,25.729999542236328,23.010000228881836,24.0,24.0,721000
2021-04-19,24.299999237060547,24.940000534057617,23.559999465942383,23.65999984741211,23.65999984741211,1171800
2021-04-20,23.700000762939453,24.25,22.389999389648438,23.06999969482422,23.06999969482422,705500
2021-04-21,23.15999984741211,23.799999237060547,22.850000381469727,22.90999984741211,22.90999984741211,489300
2021-04-22,22.950000762939453,23.43000030517578,22.219999313354492,22.889999389648438,22.889999389648438,512500
2021-04-23,22.75,23.649999618530273,22.5,22.989999771118164,22.989999771118164,632900
2021-04-26,23.170000076293945,24.325000762939453,23.100000381469727,23.790000915527344,23.790000915527344,435300
2021-04-27,23.959999084472656,25.450000762939453,23.60700035095215,24.760000228881836,24.760000228881836,391600
2021-04-28,25.399999618530273,27.449899673461914,24.399999618530273,26.93000030517578,26.93000030517578,1283593
